Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
Yankee tomahawk,1874,Edward Crewe,BAINES,131,,"We called at the town [for] ... that most useful article when travelling, viz. a tomahawk - nothing so handy: you cut your firewood with it ... , also if you have to build a hut, a Yankee tomahawk is the best tool possible for the purpose.",
Yankee tournament,"Jul 23, 1934",Napier Daily Telegraph,,2,,The Yankee tournament in the second grade section of the Napier basketball teams was replayed on Saturday.,
Yankee tournament,1982,WAAF Book,MACKENZIE,76,,"Apparently, chocolate was doled out for prizes in the all ranks and both sexes Yankee tennistournament held at Woodbourne.",
Yankee tournament,"Oct 29, 1892",Otago Daily Times,,5,,"Two Yankee tournaments were played on holidays towards the end of the summer, and proved so successful that it is a matter for consideration whether a similar tournament amongst all members of the club who cared to enter might not be started at the beginning of the season and carried on from Saturday to Saturday.",
Yankee tournament,"Jul 18, 1903",Grey River Argus,,2,,The Yankee tournament will be resumed to-day at the Tennis Court.,
Yankee tournament,"Nov 25, 1912",Colonist (Nelson),,5,,"The weather was perfect for the Yankee tournament played on the Brook Club's courts on Saturday, and the lawns were in fine condition.",
Yankee tournament,"Sep 28, 1920",Eve Stanley of NZ,,8,,The Victoria University College Tennis Club opened its season with a sealed handicap Yankee Tournament yesterday.,
Yankee tournament,"Sep 13, 1943",Evening Post,,7,,"W.A.A.C., W.A.A.F., and W.R.N.S. teams took part in a Yankee tournament in Wellington.",
Yankee wagon,1862,Dunedin Songster,THATCHER,I 6,,"Troops [sc police] were huddled up in a Yankee Wagon, to pick up any stray drunks.",
YAQ,1972,Sheepfarming Annual 1972,BARTON,72,,"YAQ ox or heifer =Young average quality. Carcasses in this grade must be from cattle younger than two years at slaughter. YAQ grade is, in effect, reserved for young Boner-type carcasses.",
yard,"Jun 8, 1864",Haldon Station Diary,,251,,Fraser and brother came with 1000 ewes. I yarded them.,in Vance (1965) High Endeavour
yard,Oct 1918,NZ Farmer,,1243,,The night pen should be yarded early in the afternoon.,
yard,1966,Fiordland Muster,SHARPE,109,,.. Jim and I got the cattle yarded and drafted them again.,
yard,1994,I Was So Lucky,SALISBURY,23,,"We had to run out docking nets on to posts that were in the ground ready to make the holding yard for the shepherds to yard into .. As they did not flap in the wind like docking scrim, it was easier to yard sheep up against them.",
yard,1993,Farming Under Aspiring,ASPINALL,150,,Once the sheep are yarded the first job is to trim the daggy ewes with hand shears.,
yard,1983,Down from Marble Mountain,HENDERSON,26,,"Dad.. crouched beneath that travesty of an old felt hat marked from many a billy's hot wire handle, and from beating and ""yah-hooing"" at yarded stubborn sheep or upbraiding a two-tooth.",
yard,"Sep 19, 1856",Diary,WHS ROBERTS,42,,"I yoked up the bullocks. The bullock yoke was a square piece of white pine smoothed and hollowed out to fit the necks of the two bullocks, with holes for the iron bows which went round the neck and through the yoke, being fastened above with a key tied with a bit of greenhide; in the centre a bolt with a ring called `the start' passed through the yoke, to which the chain was fastened from the sledge. <i>IBid.</i> Dec 18 p. 43. At Macfarlane's the men saddled fresh horses and rode in some cattle which we had a great bother to yard, as everything was new ... The yard was divided into three - one large and two small - but as there was no crush pen, or drafting race, we had to head rope those requiring branding, and after hauling them up to a corner post, leg-roped and threw them on [44] their side, placing a long lever on their neck and under the lowest rail so that they would not move much ... When released the poor beast is not in an amiable temper ... So anyone in the yard has to climb the rails quickly ..., and the idea that it may catch you before your legs are safely over the cap rail certainly accelerates one's movements.",W.H.S. Roberts diary in 1947 Beattie Early Runholding
yard,"Mar 13, 1862",Chudleigh Diary,,28,1950,Draper ... and myself were on the run all day cutting out bullocks we succeeded in yarding about 60.,
yard,"Mar 18, 1867",Richmond-Atkinson Papers,,2/236,,His master took the slip-panel down and the dog then rounded the sheep in and yarded them without any orders.,(C.W. Richmond)
yard,1881,Chequered Career,NESFIELD,36,,"In Australia, sheep are either in large paddocks which are boundary-ridden, or else they are shepherded and yarded every night.",
yard,"Sep 23, 1924",Otago Witness,,23,,Very few wethers were yarded.,
